epoch,loss
0,0.693147
1,0.63152
2,0.578549
3,0.532891
4,0.493371
5,0.458992
6,0.42892
7,0.402466
8,0.379062
9,0.358241
10,0.33962
11,0.322881
12,0.307762
13,0.294046
14,0.28155
15,0.270121
16,0.259628
17,0.249963
18,0.241031
19,0.232752
20,0.225057
21,0.217886
22,0.211186
23,0.204913
24,0.199026
25,0.19349
26,0.188274
27,0.183351
28,0.178697
29,0.174289
30,0.170108
31,0.166137
32,0.16236
33,0.158762
34,0.155332
35,0.152057
36,0.148927
37,0.145931
38,0.143062
39,0.140312
40,0.137672
41,0.135137
42,0.132699
43,0.130354
44,0.128096
45,0.12592
46,0.123822
47,0.121796
48,0.119841
49,0.117951
50,0.116124
51,0.114356
52,0.112645
53,0.110988
54,0.109381
55,0.107824
56,0.106313
57,0.104846
58,0.103422
59,0.102038
60,0.100693
61,0.0993857
62,0.0981136
63,0.0968757
64,0.0956704
65,0.0944966
66,0.093353
67,0.0922383
68,0.0911515
69,0.0900916
70,0.0890574
71,0.0880481
72,0.0870627
73,0.0861004
74,0.0851604
75,0.0842418
76,0.083344
77,0.0824662
78,0.0816077
79,0.0807679
80,0.0799462
81,0.0791419
82,0.0783546
83,0.0775837
84,0.0768286
85,0.0760888
86,0.0753639
87,0.0746535
88,0.0739571
89,0.0732742
90,0.0726045
91,0.0719476
92,0.0713031
93,0.0706706
94,0.0700499
95,0.0694405
96,0.0688422
97,0.0682547
98,0.0676776
99,0.0671107
100,0.0665537
101,0.0660064
102,0.0654684
103,0.0649396
104,0.0644197
105,0.0639085
106,0.0634058
107,0.0629113
108,0.0624248
109,0.0619462
110,0.0614752
111,0.0610117
112,0.0605555
113,0.0601064
114,0.0596642
115,0.0592288
116,0.0588001
117,0.0583778
118,0.0579618
119,0.057552
120,0.0571482
121,0.0567503
122,0.0563583
123,0.0559718
124,0.0555909
125,0.0552154
126,0.0548451
127,0.05448
128,0.05412
129,0.053765
130,0.0534148
131,0.0530693
132,0.0527285
133,0.0523922
134,0.0520605
135,0.051733
136,0.0514099
137,0.051091
138,0.0507762
139,0.0504654
140,0.0501586
141,0.0498557
142,0.0495566
143,0.0492612
144,0.0489695
145,0.0486814
146,0.0483968
147,0.0481156
148,0.0478379
149,0.0475635
150,0.0472924
151,0.0470245
152,0.0467597
153,0.0464981
154,0.0462395
155,0.0459839
156,0.0457312
157,0.0454814
158,0.0452345
159,0.0449903
160,0.0447489
161,0.0445102
162,0.0442741
163,0.0440407
164,0.0438098
165,0.0435814
166,0.0433555
167,0.043132
168,0.0429109
169,0.0426922
170,0.0424758
171,0.0422617
172,0.0420498
173,0.0418401
174,0.0416327
175,0.0414273
176,0.0412241
177,0.0410229
178,0.0408238
179,0.0406266
180,0.0404315
181,0.0402383
182,0.040047
183,0.0398576
184,0.0396701
185,0.0394844
186,0.0393006
187,0.0391185
188,0.0389381
189,0.0387595
190,0.0385826
191,0.0384074
192,0.0382338
193,0.0380618
194,0.0378915
195,0.0377227
196,0.0375556
197,0.0373899
198,0.0372258
199,0.0370631
200,0.036902
201,0.0367423
202,0.036584
203,0.0364272
204,0.0362717
205,0.0361177
206,0.0359649
207,0.0358136
208,0.0356635
209,0.0355148
210,0.0353674
211,0.0352212
212,0.0350763
213,0.0349326
214,0.0347901
215,0.0346489
216,0.0345088
217,0.0343699
218,0.0342322
219,0.0340957
220,0.0339602
221,0.0338259
222,0.0336927
223,0.0335606
224,0.0334295
225,0.0332995
226,0.0331706
227,0.0330427
228,0.0329158
229,0.03279
230,0.0326651
231,0.0325413
232,0.0324184
233,0.0322964
234,0.0321755
235,0.0320554
236,0.0319363
237,0.0318181
238,0.0317009
239,0.0315845
240,0.031469
241,0.0313544
242,0.0312406
243,0.0311278
244,0.0310157
245,0.0309045
246,0.0307942
247,0.0306846
248,0.0305759
249,0.0304679
250,0.0303608
251,0.0302544
252,0.0301488
253,0.030044
254,0.0299399
255,0.0298366
256,0.029734
257,0.0296322
258,0.0295311
259,0.0294307
260,0.029331
261,0.029232
262,0.0291337
263,0.0290361
264,0.0289392
265,0.0288429
266,0.0287473
267,0.0286524
268,0.0285581
269,0.0284645
270,0.0283715
271,0.0282791
272,0.0281874
273,0.0280962
274,0.0280057
275,0.0279158
276,0.0278265
277,0.0277378
278,0.0276497
279,0.0275621
280,0.0274752
281,0.0273888
282,0.027303
283,0.0272177
284,0.027133
285,0.0270488
286,0.0269652
287,0.0268821
288,0.0267995
289,0.0267175
290,0.026636
291,0.026555
292,0.0264745
293,0.0263945
294,0.0263151
295,0.0262361
296,0.0261576
297,0.0260796
298,0.0260021
299,0.0259251
300,0.0258485
301,0.0257724
302,0.0256968
303,0.0256216
304,0.0255469
305,0.0254727
306,0.0253989
307,0.0253255
308,0.0252526
309,0.0251801
310,0.0251081
311,0.0250365
312,0.0249653
313,0.0248945
314,0.0248241
315,0.0247542
316,0.0246847
317,0.0246155
318,0.0245468
319,0.0244785
320,0.0244105
321,0.024343
322,0.0242758
323,0.0242091
324,0.0241427
325,0.0240767
326,0.0240111
327,0.0239458
328,0.0238809
329,0.0238164
330,0.0237522
331,0.0236884
332,0.023625
333,0.0235619
334,0.0234991
335,0.0234367
336,0.0233747
337,0.023313
338,0.0232516
339,0.0231905
340,0.0231298
341,0.0230695
342,0.0230094
343,0.0229497
344,0.0228903
345,0.0228312
346,0.0227725
347,0.022714
348,0.0226559
349,0.022598
350,0.0225405
351,0.0224833
352,0.0224264
353,0.0223698
354,0.0223135
355,0.0222574
356,0.0222017
357,0.0221463
358,0.0220911
359,0.0220362
360,0.0219817
361,0.0219274
362,0.0218733
363,0.0218196
364,0.0217661
365,0.0217129
366,0.02166
367,0.0216073
368,0.0215549
369,0.0215028
370,0.0214509
371,0.0213993
372,0.021348
373,0.0212969
374,0.021246
375,0.0211954
376,0.0211451
377,0.021095
378,0.0210452
379,0.0209956
380,0.0209462
381,0.0208971
382,0.0208482
383,0.0207996
384,0.0207512
385,0.020703
386,0.0206551
387,0.0206074
388,0.0205599
389,0.0205126
390,0.0204656
391,0.0204188
392,0.0203722
393,0.0203259
394,0.0202798
395,0.0202338
396,0.0201881
397,0.0201426
398,0.0200974
399,0.0200523
400,0.0200075
401,0.0199628
402,0.0199184
403,0.0198741
404,0.0198301
405,0.0197863
406,0.0197427
407,0.0196992
408,0.019656
409,0.019613
410,0.0195702
411,0.0195275
412,0.0194851
413,0.0194428
414,0.0194008
415,0.0193589
416,0.0193172
417,0.0192757
418,0.0192344
419,0.0191933
420,0.0191523
421,0.0191115
422,0.019071
423,0.0190306
424,0.0189903
425,0.0189503
426,0.0189104
427,0.0188707
428,0.0188312
429,0.0187918
430,0.0187526
431,0.0187136
432,0.0186748
433,0.0186361
434,0.0185976
435,0.0185592
436,0.0185211
437,0.018483
438,0.0184452
439,0.0184075
440,0.0183699
441,0.0183326
442,0.0182954
443,0.0182583
444,0.0182214
445,0.0181846
446,0.018148
447,0.0181116
448,0.0180753
449,0.0180392
450,0.0180032
451,0.0179673
452,0.0179316
453,0.0178961
454,0.0178607
455,0.0178255
456,0.0177903
457,0.0177554
458,0.0177206
459,0.0176859
460,0.0176513
461,0.0176169
462,0.0175827
463,0.0175486
464,0.0175146
465,0.0174807
466,0.017447
467,0.0174135
468,0.01738
469,0.0173467
470,0.0173135
471,0.0172805
472,0.0172476
473,0.0172148
474,0.0171821
475,0.0171496
476,0.0171172
477,0.017085
478,0.0170528
479,0.0170208
480,0.0169889
481,0.0169571
482,0.0169255
483,0.016894
484,0.0168626
485,0.0168313
486,0.0168002
487,0.0167691
488,0.0167382
489,0.0167074
490,0.0166767
491,0.0166462
492,0.0166157
493,0.0165854
494,0.0165552
495,0.0165251
496,0.0164951
497,0.0164652
498,0.0164354
499,0.0164058
500,0.0163762
501,0.0163468
502,0.0163175
503,0.0162883
504,0.0162592
505,0.0162302
506,0.0162013
507,0.0161725
508,0.0161439
509,0.0161153
510,0.0160868
511,0.0160585
512,0.0160302
513,0.0160021
514,0.015974
515,0.0159461
516,0.0159182
517,0.0158905
518,0.0158629
519,0.0158353
520,0.0158079
521,0.0157805
522,0.0157533
523,0.0157261
524,0.0156991
525,0.0156721
526,0.0156453
527,0.0156185
528,0.0155918
529,0.0155653
530,0.0155388
531,0.0155124
532,0.0154861
533,0.0154599
534,0.0154338
535,0.0154078
536,0.0153819
537,0.015356
538,0.0153303
539,0.0153047
540,0.0152791
541,0.0152536
542,0.0152282
543,0.0152029
544,0.0151777
545,0.0151526
546,0.0151276
547,0.0151026
548,0.0150777
549,0.015053
550,0.0150283
551,0.0150037
552,0.0149791
553,0.0149547
554,0.0149303
555,0.014906
556,0.0148818
557,0.0148577
558,0.0148337
559,0.0148097
560,0.0147859
561,0.0147621
562,0.0147384
563,0.0147147
564,0.0146912
565,0.0146677
566,0.0146443
567,0.014621
568,0.0145977
569,0.0145745
570,0.0145515
571,0.0145284
572,0.0145055
573,0.0144826
574,0.0144598
575,0.0144371
576,0.0144145
577,0.0143919
578,0.0143694
579,0.014347
580,0.0143247
581,0.0143024
582,0.0142802
583,0.0142581
584,0.014236
585,0.014214
586,0.0141921
587,0.0141702
588,0.0141485
589,0.0141267
590,0.0141051
591,0.0140835
592,0.014062
593,0.0140406
594,0.0140192
595,0.0139979
596,0.0139767
597,0.0139555
598,0.0139344
599,0.0139134
600,0.0138924
601,0.0138715
602,0.0138507
603,0.0138299
604,0.0138092
605,0.0137886
606,0.013768
607,0.0137475
608,0.0137271
609,0.0137067
610,0.0136863
611,0.0136661
612,0.0136459
613,0.0136258
614,0.0136057
615,0.0135857
616,0.0135657
617,0.0135458
618,0.013526
619,0.0135062
620,0.0134865
621,0.0134669
622,0.0134473
623,0.0134277
624,0.0134083
625,0.0133889
626,0.0133695
627,0.0133502
628,0.013331
629,0.0133118
630,0.0132927
631,0.0132736
632,0.0132546
633,0.0132356
634,0.0132167
635,0.0131979
636,0.0131791
637,0.0131604
638,0.0131417
639,0.0131231
640,0.0131045
641,0.013086
642,0.0130676
643,0.0130492
644,0.0130308
645,0.0130125
646,0.0129943
647,0.0129761
648,0.012958
649,0.0129399
650,0.0129219
651,0.0129039
652,0.012886
653,0.0128681
654,0.0128503
655,0.0128325
656,0.0128148
657,0.0127971
658,0.0127795
659,0.0127619
660,0.0127444
661,0.0127269
662,0.0127095
663,0.0126921
664,0.0126748
665,0.0126576
666,0.0126403
667,0.0126232
668,0.012606
669,0.012589
670,0.0125719
671,0.012555
672,0.012538
673,0.0125211
674,0.0125043
675,0.0124875
676,0.0124708
677,0.0124541
678,0.0124374
679,0.0124208
680,0.0124043
681,0.0123878
682,0.0123713
683,0.0123549
684,0.0123385
685,0.0123222
686,0.0123059
687,0.0122896
688,0.0122735
689,0.0122573
690,0.0122412
691,0.0122251
692,0.0122091
693,0.0121931
694,0.0121772
695,0.0121613
696,0.0121455
697,0.0121297
698,0.0121139
699,0.0120982
700,0.0120825
701,0.0120669
702,0.0120513
703,0.0120357
704,0.0120202
705,0.0120048
706,0.0119893
707,0.011974
708,0.0119586
709,0.0119433
710,0.0119281
711,0.0119128
712,0.0118977
713,0.0118825
714,0.0118674
715,0.0118524
716,0.0118373
717,0.0118224
718,0.0118074
719,0.0117925
720,0.0117776
721,0.0117628
722,0.011748
723,0.0117333
724,0.0117186
725,0.0117039
726,0.0116893
727,0.0116747
728,0.0116601
729,0.0116456
730,0.0116311
731,0.0116167
732,0.0116023
733,0.0115879
734,0.0115736
735,0.0115593
736,0.011545
737,0.0115308
738,0.0115166
739,0.0115025
740,0.0114884
741,0.0114743
742,0.0114603
743,0.0114462
744,0.0114323
745,0.0114183
746,0.0114044
747,0.0113906
748,0.0113768
749,0.011363
750,0.0113492
751,0.0113355
752,0.0113218
753,0.0113081
754,0.0112945
755,0.0112809
756,0.0112674
757,0.0112539
758,0.0112404
759,0.0112269
760,0.0112135
761,0.0112001
762,0.0111868
763,0.0111734
764,0.0111602
765,0.0111469
766,0.0111337
767,0.0111205
768,0.0111073
769,0.0110942
770,0.0110811
771,0.0110681
772,0.011055
773,0.011042
774,0.0110291
775,0.0110162
776,0.0110033
777,0.0109904
778,0.0109775
779,0.0109647
780,0.010952
781,0.0109392
782,0.0109265
783,0.0109138
784,0.0109012
785,0.0108886
786,0.010876
787,0.0108634
788,0.0108509
789,0.0108384
790,0.0108259
791,0.0108135
792,0.010801
793,0.0107887
794,0.0107763
795,0.010764
796,0.0107517
797,0.0107394
798,0.0107272
799,0.010715
800,0.0107028
801,0.0106907
802,0.0106785
803,0.0106665
804,0.0106544
805,0.0106424
806,0.0106304
807,0.0106184
808,0.0106064
809,0.0105945
810,0.0105826
811,0.0105707
812,0.0105589
813,0.0105471
814,0.0105353
815,0.0105236
816,0.0105118
817,0.0105001
818,0.0104884
819,0.0104768
820,0.0104652
821,0.0104536
822,0.010442
823,0.0104305
824,0.010419
825,0.0104075
826,0.010396
827,0.0103846
828,0.0103732
829,0.0103618
830,0.0103504
831,0.0103391
832,0.0103278
833,0.0103165
834,0.0103053
835,0.010294
836,0.0102828
837,0.0102716
838,0.0102605
839,0.0102494
840,0.0102383
841,0.0102272
842,0.0102161
843,0.0102051
844,0.0101941
845,0.0101831
846,0.0101722
847,0.0101612
848,0.0101503
849,0.0101394
850,0.0101286
851,0.0101178
852,0.0101069
853,0.0100962
854,0.0100854
855,0.0100747
856,0.010064
857,0.0100533
858,0.0100426
859,0.010032
860,0.0100213
861,0.0100107
862,0.0100002
863,0.00998962
864,0.0099791
865,0.0099686
866,0.00995812
867,0.00994766
868,0.00993723
869,0.00992681
870,0.00991643
871,0.00990606
872,0.00989572
873,0.0098854
874,0.0098751
875,0.00986482
876,0.00985457
877,0.00984433
878,0.00983412
879,0.00982394
880,0.00981377
881,0.00980363
882,0.0097935
883,0.0097834
884,0.00977332
885,0.00976327
886,0.00975323
887,0.00974322
888,0.00973322
889,0.00972325
890,0.0097133
891,0.00970337
892,0.00969346
893,0.00968358
894,0.00967371
895,0.00966387
896,0.00965404
897,0.00964424
898,0.00963445
899,0.00962469
900,0.00961495
901,0.00960523
902,0.00959553
903,0.00958585
904,0.00957619
905,0.00956655
906,0.00955693
907,0.00954733
908,0.00953775
909,0.00952819
910,0.00951865
911,0.00950913
912,0.00949963
913,0.00949015
914,0.00948068
915,0.00947124
916,0.00946182
917,0.00945242
918,0.00944304
919,0.00943367
920,0.00942433
921,0.009415
922,0.0094057
923,0.00939641
924,0.00938714
925,0.00937789
926,0.00936866
927,0.00935945
928,0.00935026
929,0.00934109
930,0.00933193
931,0.0093228
932,0.00931368
933,0.00930458
934,0.0092955
935,0.00928644
936,0.00927739
937,0.00926837
938,0.00925936
939,0.00925037
940,0.0092414
941,0.00923245
942,0.00922351
943,0.0092146
944,0.0092057
945,0.00919682
946,0.00918796
947,0.00917911
948,0.00917028
949,0.00916147
950,0.00915268
951,0.0091439
952,0.00913515
953,0.00912641
954,0.00911768
955,0.00910898
956,0.00910029
957,0.00909162
958,0.00908297
959,0.00907433
960,0.00906571
961,0.00905711
962,0.00904852
963,0.00903995
964,0.0090314
965,0.00902287
966,0.00901435
967,0.00900585
968,0.00899736
969,0.00898889
970,0.00898044
971,0.00897201
972,0.00896359
973,0.00895519
974,0.0089468
975,0.00893843
976,0.00893008
977,0.00892174
978,0.00891342
979,0.00890511
980,0.00889682
981,0.00888855
982,0.0088803
983,0.00887205
984,0.00886383
985,0.00885562
986,0.00884743
987,0.00883925
988,0.00883109
989,0.00882294
990,0.00881481
991,0.0088067
992,0.0087986
993,0.00879051
994,0.00878244
995,0.00877439
996,0.00876635
997,0.00875833
998,0.00875032
999,0.00874233
